Area Name,Area Type,Year,Month,Date_Numeric,Seasonally Adjusted(Y/N),Status,Labor Force,Employment,Unemployment,Unemployment Rate,Benchmark
Dana Point city,Sub-County Place,2023,July,07/2023,N,Final,18400,17800,600,3.4,2023
London CDP,Sub-County Place,2011,March,03/2011,N,Final,600,400,200,27.6,2023
Baldwin Park city,Sub-County Place,2016,December,12/2016,N,Final,34300,32500,1700,5.0,2023
Goleta City,Sub-County Place,2014,December,12/2014,N,Final,16900,16300,600,3.6,2023
Lucerne CDP,Sub-County Place,2017,October,10/2017,N,Final,1320,1250,70,5.1,2023
Sacramento--Roseville--Arden-Arcade MSA,Metropolitan Area,1997,February,02/1997,N,Final,813400,761800,51500,6.3,2021
Tulare County,County,1998,June,06/1998,N,Final,164800,142100,22700,13.8,2021
Coronado city,Sub-County Place,2018,January,01/2018,N,Final,7600,7300,300,3.5,2023
Pacific Grove city,Sub-County Place,2024,March,03/2024,N,Final,7900,7100,800,10.5,2023
Alpine County,County,1992,November,11/1992,N,Final,250,180,70,26.5,2021
Dinuba city,Sub-County Place,2023,October,10/2023,N,Final,12200,10700,1500,12.1,2023
Glendale city,Sub-County Place,2013,December,12/2013,N,Final,98300,90100,8200,8.3,2023
San Buenaventura (Ventura) city,Sub-County Place,2012,September,09/2012,N,Final,57300,52100,5200,9.0,2023
Grand Terrace city,Sub-County Place,2016,January,01/2016,N,Final,6400,5900,500,7.2,2023
Hemet city,Sub-County Place,2021,March,03/2021,N,Final,30700,27000,3700,12.1,2023
Kern County,County,1999,March,03/1999,N,Final,275400,235300,40100,14.6,2021
Big Bear Lake city,Sub-County Place,2015,August,08/2015,N,Final,2200,2100,100,4.2,2023
Mojave CDP,Sub-County Place,2021,March,03/2021,N,Final,1500,1400,200,11.7,2023
Oakland-Hayward-Berkeley MD,Metropolitan Area,2006,December,12/2006,N,Final,1259600,1209600,50000,4.0,2021
Anaheim city,Sub-County Place,2023,February,02/2023,N,Final,170200,164300,5900,3.5,2023
Norco city,Sub-County Place,2016,May,05/2016,N,Final,11400,10800,600,4.8,2023
Los Banos city,Sub-County Place,2015,December,12/2015,N,Final,15500,13700,1800,11.8,2023
San Leandro city,Sub-County Place,2011,November,11/2011,N,Final,45700,41000,4700,10.2,2023
Tuolumne County,County,2012,May,05/2012,N,Final,22330,19430,2900,13.0,2023
Heber CDP,Sub-County Place,2012,August,08/2012,N,Final,3300,2900,400,12.5,2023
Rio Linda CDP,Sub-County Place,2017,March,03/2017,N,Final,6900,6700,200,3.1,2023
West Menlo Park CDP,Sub-County Place,2017,January,01/2017,N,Final,1900,1800,100,4.0,2023
Lake Nacimiento CDP,Sub-County Place,2015,September,09/2015,N,Final,1400,1300,100,5.9,2023
Desert Hot Springs city,Sub-County Place,2024,February,02/2024,N,Final,12500,11500,900,7.4,2023
Valley Springs CDP,Sub-County Place,2018,December,12/2018,N,Final,2160,2060,100,4.8,2023
Aromas CDP (Monterey Co),Sub-County Place,2016,October,10/2016,N,Final,1800,1700,100,4.4,2023
Kerman city,Sub-County Place,2010,October,10/2010,N,Final,7100,5700,1400,20.0,2023
Humboldt County,County,1998,February,02/1998,N,Final,61000,55600,5400,8.8,2021
Jurupa Valley city,Sub-County Place,2016,March,03/2016,N,Final,46000,43300,2700,5.9,2023
